cid,sid,instructor,cname,department,Date
COMS W 4172,1,"Feiner, Steven K",3D User Interfaces and Augmented Reality,Computer Science,Spring 2022
COMS E 6998,1,"Hirschberg, Julia B.",Adv Spoken Language Proce,Computer Science,Spring 2022
COMS E 6998,7,"Belhumeur, Peter N",Adv Topics Proj Deep Lear,Computer Science,Spring 2022
COMS W 4232,1,"Andoni, Alexandr",Advanced Algorithms,Computer Science,Spring 2022
COMS E 6111,1,"Gravano, Luis",Advanced Database Systems,Computer Science,Spring 2022
COMS W 3157,1,"Lee, Jae Woo",Advanced Programming,Computer Science,Spring 2022
COMS E 6998,2,"Ray, Baishakhi",Ai For Software Engineeri,Computer Science,Spring 2022
CSOR W 4231,1,"Drinea, Eleni",Analysis of Algorithms I,Computer Science,Spring 2022
CSOR W 4231,2,"Chen, Xi",Analysis of Algorithms I,Computer Science,Spring 2022
COMS W 4995,20,"Pappu, Vijay",Applied Machine Learning,Computer Science,Spring 2022
COMS W 4701,2,"Dear, Tony",Artificial Intelligence,Computer Science,Spring 2022
COMS W 4995,3,"Bareinboim, Elias",Causal Inference Ii,Computer Science,Spring 2022
COMS E 6998,8,"Sahu, Sambit",Cloud Computing & Big Dat,Computer Science,Spring 2022
COMS E 6998,4,"Pitassi, Toniann",Communication Complexity,Computer Science,Spring 2022
COMS W 4733,1,"Song, Shuran",Computational Aspects of Robotics,Computer Science,Spring 2022
CBMF W 4761,1,"Pe'er, Itsik G",Computational Genomics,Computer Science,Spring 2022
COMS W 3251,1,"Dear, Tony",Computational Linear Algebra,Computer Science,Spring 2022
CSEE 4119,2,"Schulzrinne, Henning G",Computer Network,Computer Science,Spring 2022
CSEE W 4119,1,"Zussman, Gil",Computer Networks,Computer Science,Spring 2022
CSEE W 4119,2,"Schulzrinne, Henning G",Computer Networks,Computer Science,Spring 2022
COMS S 3261,1,"Yannakakis, Mihalis",Computer Science Theory,Computer Science,Spring 2022
CSEE W 4121,2,"Sahu, Sambit",Computer Systems for Data Science,Computer Science,Spring 2022
CSEE W 4121,3,"Cidon, Asaf",Computer Systems for Data Science,Computer Science,Spring 2022
COMS W 4732,1,"Vondrick, Carl",Computer Vision II: Learning,Computer Science,Spring 2022
COMS W 3134,1,"Blaer, Paul S",Data Structures in Java,Computer Science,Spring 2022
COMS W 4112,1,"Ross, Kenneth A",Database System Implementation,Computer Science,Spring 2022
COMS W 4995,12,"Drori, Iddo",Deep Learning,Computer Science,Spring 2022
COMS W 4995,5,"Stroustrup, Bjarne",Design Using C++,Computer Science,Spring 2022
COMS W 3203,1,"Salleb-Aouissi, Ansaf",Discrete Mathematics: Introduction To Combinatorics and Graph Theory,Computer Science,Spring 2022
CSEE E 6868,1,"Carloni, Luca",Embedded Scalable Platforms,Computer Science,Spring 2022
CSEE W 4840,1,"Edwards, Stephen A.",Embedded System Design,Computer Science,Spring 2022
COMS W 4995,13,"Levine, Michelle F",Empirical Methods Data Sc,Computer Science,Spring 2022
COMS E 6998,3,"Beigi, Homayoon",Fund Speech Recognition,Computer Science,Spring 2022
CSEE W 3827,1,"Rubenstein, Dan",Fundamentals of Computer Systems,Computer Science,Spring 2022
COMS W 4113,1,"Geambasu, Roxana",Fundamentals of Large-Scale Distributed Systems,Computer Science,Spring 2022
COMS W 4995,4,"Blumberg, Andrew",Geometric Data Analysis,Computer Science,Spring 2022
COMS E 6424,1,"Sethumadhavan, Simha",Hardware Security,Computer Science,Spring 2022
COMS W 3137,1,"Bauer, Daniel",Honors Data Structures and Algorithms,Computer Science,Spring 2022
COMS E 6178,1,"Smith, Brian A",Human-Computer Interaction,Computer Science,Spring 2022
ENGI E 1006,1,"Paine, Timothy",Intro To Comp For Eng/app,Computer Science,Spring 2022
COMS W 4995,11,"Swinehart, Christian",Intro to Data Visualization,Computer Science,Spring 2022
COMS W 4995,7,"Chaintreau, Augustin",Intro To Networks And Cro,Computer Science,Spring 2022
COMS W 4236,1,"Servedio, Rocco A.",Introduction To Computational Complexity,Computer Science,Spring 2022
COMS W 1004,2,"Cannon, Adam H",Introduction To Computer Science And Programming In Java,Computer Science,Spring 2022
COMS W 1004,1,"Cannon, Adam H",Introduction To Computer Science And Programming In Java,Computer Science,Spring 2022
COMS W 4261,1,"Malkin, Tal G",Introduction To Cryptography,Computer Science,Spring 2022
COMS W 4111,1,"Wu, Eugene",Introduction to Databases,Computer Science,Spring 2022
COMS W 4111,2,"Ferguson, Donald F.",Introduction to Databases,Computer Science,Spring 2022
COMS W 4111,3,"Biliris, Alexandros",Introduction to Databases,Computer Science,Spring 2022
COMS W 4771,1,"Verma, Nakul",Machine Learning,Computer Science,Spring 2022
COMS E 6998,10,"Kucukelbir, Alp",Machine Learning &climate,Computer Science,Spring 2022
COMS W 4721,1,"Hsu, Daniel J",Machine Learning for Data Science,Computer Science,Spring 2022
COMS E 4762,1,"Knowles, David",Machine Learning for Functional Genomics,Computer Science,Spring 2022
CSEE E 6180,1,"Misra, Vishal",Modeling and performance evaluation,Computer Science,Spring 2022
COMS W 4995,10,"Papadimitriou, Christos H",Nat Art Neural Networks L,Computer Science,Spring 2022
